Sr.No,City/town,Federal subject,Population,Population
95,Severodvinsk,Arkhangelsk Oblast,"2,01,551","1,92,265"
96,Armavir,Krasnodar Krai,"1,93,964","1,88,897"
97,Podolsk,Moscow Oblast,"1,80,963","1,87,956"
98,Korolyov,Moscow Oblast,"1,42,568","1,83,452"
99,Yuzhno-Sakhalinsk,Sakhalin Oblast,"1,75,085","1,81,727"
100,Petropavlovsk-Kamchatsky,Kamchatka Krai,"1,98,028","1,79,526"
101,Syzran,Samara Oblast,"1,88,107","1,78,773"
102,Norilsk,Krasnoyarsk Krai,"1,34,832","1,75,301"
103,Zlatoust,Chelyabinsk Oblast,"1,94,551","1,74,985"
104,Kamensk-Uralsky,Sverdlovsk Oblast,"1,86,153","1,74,710"
105,Mytishchi,Moscow Oblast,"1,59,900","1,73,341"
106,Lyubertsy,Moscow Oblast,"1,56,691","1,71,978"
107,Volgodonsk,Rostov Oblast,"1,65,994","1,70,621"
108,Novocherkassk,Rostov Oblast,"1,70,822","1,69,039"
109,Abakan,Republic of Khakassia,"1,65,197","1,65,183"
110,Nakhodka,Primorsky Krai,"1,48,826","1,59,695"
111,Ussuriysk,Primorsky Krai,"1,57,759","1,57,946"
112,Berezniki,Perm Krai,"1,73,077","1,56,512"
113,Salavat,Republic of Bashkortostan,"1,58,600","1,56,085"
114,Elektrostal,Moscow Oblast,"1,46,294","1,55,324"
115,Miass,Chelyabinsk Oblast,"1,58,420","1,51,812"
116,Rubtsovsk,Altai Krai,"1,63,063","1,47,008"
117,Almetyevsk,Republic of Tatarstan,"1,40,437","1,46,309"
118,Kovrov,Vladimir Oblast,"1,55,499","1,45,492"
119,Kolomna,Moscow Oblast,"1,50,129","1,44,642"
120,Maykop,Republic of Adygea,"1,56,931","1,44,246"
121,Pyatigorsk,Stavropol Krai,"1,40,559","1,42,397"
122,Odintsovo,Moscow Oblast,"1,34,844","1,39,021"
123,Kopeysk,Chelyabinsk Oblast,"73,342","1,37,604"
124,Khasavyurt,Republic of Dagestan,"1,21,817","1,33,929"
125,Zheleznodorozhny,Moscow Oblast,"1,03,931","1,31,729"
126,Novomoskovsk,Tula Oblast,"1,34,081","1,31,227"
127,Kislovodsk,Stavropol Krai,"1,29,788","1,28,502"
128,Serpukhov,Moscow Oblast,"1,31,097","1,26,496"
129,Pervouralsk,Sverdlovsk Oblast,"1,32,277","1,24,555"
130,Novocheboksarsk,Chuvash Republic,"1,25,857","1,24,113"
131,Nefteyugansk,Khanty-Mansi Autonomous Okrug,"1,07,830","1,23,276"
132,Dimitrovgrad,Ulyanovsk Oblast,"1,30,871","1,22,549"
133,Neftekamsk,Republic of Bashkortostan,"1,22,290","1,21,757"
134,Cherkessk,Karachay-Cherkess Republic,"1,16,244","1,21,439"
135,Orekhovo-Zuyevo,Moscow Oblast,"1,22,248","1,20,620"
136,Derbent,Republic of Dagestan,"1,01,031","1,19,961"
137,Kamyshin,Volgograd Oblast,"1,27,891","1,19,924"
138,Nevinnomyssk,Stavropol Krai,"1,32,141","1,18,351"
139,Krasnogorsk,Moscow Oblast,"92,545","1,16,738"
140,Murom,Vladimir Oblast,"1,26,901","1,16,078"
141,Bataysk,Rostov Oblast,"1,07,438","1,11,856"
142,Novoshakhtinsk,Rostov Oblast,"1,01,131","1,11,087"
143,Sergiyev Posad,Moscow Oblast,"1,13,581","1,10,878"
144,Noyabrsk,Yamalo-Nenets Autonomous Okrug,"96,440","1,10,572"
145,Shchyolkovo,Moscow Oblast,"1,12,865","1,10,380"
146,Kyzyl,Tuva Republic,"1,04,105","1,09,906"
147,Oktyabrsky,Republic of Bashkortostan,"1,08,647","1,09,379"
148,Achinsk,Krasnoyarsk Krai,"1,18,744","1,09,156"
149,Seversk,Tomsk Oblast,"1,09,106","1,08,466"
150,Novokuybyshevsk,Samara Oblast,"1,12,973","1,08,449"
151,Yelets,Lipetsk Oblast,"1,16,726","1,08,404"
152,Arzamas,Nizhny Novgorod Oblast,"1,09,432","1,06,367"
153,Obninsk,Kaluga Oblast,"1,05,706","1,04,798"
154,Novy Urengoy,Yamalo-Nenets Autonomous Okrug,"94,456","1,04,144"
155,Kaspiysk,Republic of Dagestan,"77,650","1,03,914"
156,Elista,Republic of Kalmykia,"1,04,254","1,03,728"
157,Pushkino,Moscow Oblast,"72,425","1,02,840"
158,Zhukovsky,Moscow Oblast,"1,01,328","1,02,729"
159,Artyom,Primorsky Krai,"64,145","1,02,636"
160,Mezhdurechensk,Kemerovo Oblast,"1,01,987","1,01,995"
161,Leninsk-Kuznetsky,Kemerovo Oblast,"1,12,253","1,01,666"
162,Sarapul,Udmurt Republic,"1,03,141","1,01,390"
163,Yessentuki,Stavropol Krai,"81,758","1,00,969"
164,Votkinsk,Udmurt Republic,"99,441","1,00,034"
165,Noginsk,Moscow Oblast,"1,17,555","99,762"
166,Tobolsk,Tyumen Oblast,"92,880","99,698"
167,Ukhta,Komi Republic,"1,03,340","99,642"
168,Serov,Sverdlovsk Oblast,"99,804","99,381"
169,Velikiye Luki,Pskov Oblast,"1,04,979","98,778"
170,Michurinsk,Tambov Oblast,"96,093","98,758"
171,Kiselyovsk,Kemerovo Oblast,"1,06,341","98,382"
172,Novotroitsk,Orenburg Oblast,"1,06,315","98,184"
173,Zelenodolsk,Republic of Tatarstan,"1,00,139","97,651"
174,Berdsk,Novosibirsk Oblast,"88,445","97,288"
175,Solikamsk,Perm Krai,"1,02,531","97,239"
176,Ramenskoye,Moscow Oblast,"82,074","96,355"
177,Domodedovo,Moscow Oblast,"54,080","96,123"
178,Magadan,Magadan Oblast,"99,399","95,925"
179,Glazov,Udmurt Republic,"1,00,894","95,835"
180,Kamensk-Shakhtinsky,Rostov Oblast,"75,632","95,306"
181,Zheleznogorsk,Kursk Oblast,"95,528","95,057"
182,Kansk,Krasnoyarsk Krai,"1,03,000","94,230"
183,Nazran,Republic of Ingushetia,"1,25,066","93,357"
184,Gatchina,Leningrad Oblast,"88,420","92,566"
185,Sarov,Nizhny Novgorod Oblast,"87,652","92,073"
186,Voskresensk,Moscow Oblast,"77,871","91,301"
187,Dolgoprudny,Moscow Oblast,"68,792","90,976"
188,Bugulma,Republic of Tatarstan,"93,014","89,144"
189,Kuznetsk,Penza Oblast,"92,050","88,883"
190,Gubkin,Belgorod Oblast,"86,083","88,562"
191,Kineshma,Ivanovo Oblast,"95,233","88,113"
192,Yeysk,Krasnodar Krai,"86,349","87,771"
193,Reutov,Moscow Oblast,"76,805","87,195"
194,Ust-Ilimsk,Irkutsk Oblast,"1,00,592","86,591"
195,Zheleznogorsk,Krasnoyarsk Krai,"93,875","85,559"
196,Novouralsk,Sverdlovsk Oblast,"95,414","85,519"
197,Usolye-Sibirskoye,Irkutsk Oblast,"90,161","83,364"
198,Chaykovsky,Perm Krai,"86,714","82,933"
199,Azov,Rostov Oblast,"82,090","82,882"
200,Buzuluk,Orenburg Oblast,"87,286","82,655"
201,Ozyorsk,Chelyabinsk Oblast,"91,760","82,268"
202,Balashov,Saratov Oblast,"98,330","82,222"
203,Yurga,Kemerovo Oblast,"85,555","81,536"
204,Kirovo-Chepetsk,Kirov Oblast,"90,303","80,920"
205,Kropotkin,Krasnodar Krai,"79,185","80,743"
206,Klin,Moscow Oblast,"83,178","80,584"
207,Vyborg,Leningrad Oblast,"79,224","80,013"
208,Khanty-Mansiysk,Khanty-Mansi Autonomous Okrug,"53,953","79,410"
209,Troitsk,Chelyabinsk Oblast,"83,862","78,637"
210,Bor,Nizhny Novgorod Oblast,"61,525","78,079"
211,Shadrinsk,Kurgan Oblast,"80,865","77,744"
212,Belovo,Kemerovo Oblast,"82,425","76,752"
213,Mineralnye Vody,Stavropol Krai,"75,644","76,715"
214,Anzhero-Sudzhensk,Kemerovo Oblast,"86,480","76,669"
215,Birobidzhan,Jewish Autonomous Oblast,"77,250","75,419"
216,Lobnya,Moscow Oblast,"61,567","74,350"
217,Chapayevsk,Samara Oblast,"73,912","72,689"
218,Georgiyevsk,Stavropol Krai,"70,575","72,126"
219,Chernogorsk,Republic of Khakassia,"73,077","72,117"
220,Minusinsk,Krasnoyarsk Krai,"72,561","71,171"
221,Mikhaylovsk,Stavropol Krai,"58,153","71,018"
222,Yelabuga,Republic of Tatarstan,"68,663","70,750"
223,Dubna,Moscow Oblast,"60,951","70,569"
224,Vorkuta,Komi Republic,"84,917","70,551"
225,Novoaltaysk,Altai Krai,"60,015","70,438"
226,Yegoryevsk,Moscow Oblast,"68,303","70,133"
227,Asbest,Sverdlovsk Oblast,"76,328","68,914"
228,Beloretsk,Republic of Bashkortostan,"71,093","68,804"
229,Belogorsk,Amur Oblast,"67,422","68,220"
230,Gukovo,Rostov Oblast,"66,648","67,268"
231,Stupino,Moscow Oblast,"63,124","66,942"
232,Tuymazy,Republic of Bashkortostan,"66,687","66,849"
233,Kstovo,Nizhny Novgorod Oblast,"66,944","66,641"
234,Volsk,Saratov Oblast,"71,124","66,520"
235,Ishimbay,Republic of Bashkortostan,"70,195","66,242"
236,Kungur,Perm Krai,"68,943","66,110"
237,Zelenogorsk,Krasnoyarsk Krai,"69,355","66,018"
238,Lysva,Perm Krai,"71,148","65,931"
239,Sosnovy Bor,Leningrad Oblast,"66,132","65,901"
240,Buynaksk,Republic of Dagestan,"61,437","65,735"
241,Borisoglebsk,Voronezh Oblast,"69,392","65,585"
242,Ishim,Tyumen Oblast,"67,757","65,229"
243,Naro-Fominsk,Moscow Oblast,"70,475","64,640"
244,Budyonnovsk,Stavropol Krai,"65,687","64,628"
245,Donskoy,Tula Oblast,"32,745","64,561"
246,Polevskoy,Sverdlovsk Oblast,"66,761","64,191"
247,Leninogorsk,Republic of Tatarstan,"65,592","64,145"
248,Pavlovsky Posad,Moscow Oblast,"61,982","63,771"
249,Slavyansk-na-Kubani,Krasnodar Krai,"64,136","63,768"
250,Zarechny,Penza Oblast,"62,970","63,579"
251,Tuapse,Krasnodar Krai,"64,238","63,233"
252,Rossosh,Voronezh Oblast,"62,923","62,865"
253,Kumertau,Republic of Bashkortostan,"65,003","62,854"
254,Labinsk,Krasnodar Krai,"61,446","62,822"
255,Sibay,Republic of Bashkortostan,"59,082","62,732"
256,Klintsy,Bryansk Oblast,"67,325","62,510"
257,Rzhev,Tver Oblast,"63,729","62,026"
258,Revda,Sverdlovsk Oblast,"62,667","61,890"
259,Tikhoretsk,Krasnodar Krai,"65,005","61,825"
260,Neryungri,Sakha Republic,"66,269","61,746"
261,Aleksin,Tula Oblast,"68,156","61,738"
262,Alexandrov,Vladimir Oblast,"64,824","61,544"
263,Dmitrov,Moscow Oblast,"62,219","61,454"
